type,time,exchange,competitor,odds,backer,layer,stake
Trade,3.5133628845214844,0,0,2.1,1,1,15
Trade,3.611633062362671,0,0,1.1,11,1,15
Trade,3.7292990684509277,0,0,1.1,10,1,15
Trade,4.106339931488037,0,0,1.6246865342449783,16,1,15
Trade,4.295769929885864,0,0,1.6891193401505402,9,1,15
Trade,4.770283937454224,0,0,1.6891193401505402,11,1,15
Trade,4.949384927749634,0,0,1.7891193401505403,10,1,15
Trade,6.269605875015259,0,0,1.8457160151877987,16,1,15
Trade,6.567893028259277,0,0,3.1,1,1,15
Trade,7.150614023208618,0,0,2.2459890263332323,15,1,15
Trade,7.163186073303223,0,0,2.238989171718135,15,1,15
Trade,7.406543016433716,0,0,2.2320157068098627,15,1,15
Trade,7.766327857971191,0,0,2.1735325533927563,15,1,15
Trade,7.964686870574951,0,0,2.3896821421720746,15,1,15
Trade,8.400282859802246,0,0,1.364305774726116,3,1,15
Trade,8.505712032318115,0,0,1.1,5,1,15
Trade,8.788872003555298,0,0,1.1,3,1,15
Trade,8.941872835159302,0,0,1.1,5,1,15
Trade,9.003307104110718,0,0,1.1,3,1,15
Trade,9.33723497390747,0,0,1.1,5,6,15
Trade,9.935894012451172,0,0,1.1,3,1,15
Trade,10.751118898391724,0,0,1.1,10,1,15
Trade,11.019186019897461,0,0,1.1,9,1,15
Trade,11.378352880477905,0,0,1.1,11,1,15
Trade,11.870512008666992,0,0,1.1,5,1,15
Trade,12.539652824401855,0,0,1.1,3,1,15
Trade,12.606701850891113,0,0,1.1,4,1,15
Trade,13.00456690788269,0,0,1.1,5,1,15
Trade,13.140707969665527,0,0,1.1,3,1,15
Trade,13.188523769378662,0,0,1.1,4,1,15
Trade,13.394179821014404,0,0,1.1,5,1,15
Trade,13.407520055770874,0,0,1.1,3,1,15
Trade,13.582474946975708,0,0,1.1,4,1,15
Trade,13.745914936065674,0,0,1.1,5,1,15
Trade,14.038774728775024,0,0,1.1,3,1,15
Trade,14.855695009231567,0,0,1.1,5,1,15
Trade,15.323868989944458,0,0,1.1,4,1,15
Trade,15.733572006225586,0,0,1.1,3,1,15
Trade,16.200368881225586,0,0,1.1,5,1,15
Trade,18.008567810058594,0,0,1.1,4,1,15
Trade,18.03281807899475,0,0,1.1,5,1,15
Trade,18.21975302696228,0,0,1.1,3,1,15
Trade,18.69229507446289,0,0,1.1,5,1,15
Trade,18.720498085021973,0,0,1.1,3,1,15
Trade,18.762759923934937,0,0,1.1,4,1,15
Trade,18.80536198616028,0,0,1.1,5,1,15
Trade,18.850156784057617,0,0,1.1,3,1,15
Trade,19.529432773590088,0,0,1.1,4,1,15
Trade,19.61326289176941,0,0,1.1,5,1,15
Trade,19.775891065597534,0,0,1.1,3,1,15
Trade,19.874839782714844,0,0,1.1,4,1,15
Trade,20.056699991226196,0,0,1.1,5,1,15
Trade,20.662723779678345,0,0,2.364305774726116,4,1,15
Trade,20.711905002593994,0,0,1.1,5,1,15
Trade,21.01067590713501,0,0,1.1,3,1,15
Trade,21.406540155410767,0,0,1.1,4,1,15
Trade,21.48091983795166,0,0,1.1,5,1,15
Trade,22.626653909683228,0,0,1.1,3,1,15
Trade,22.760891914367676,0,0,1.1,4,1,15
Trade,23.597234964370728,0,0,1.1,5,1,15
Trade,24.31996989250183,0,0,1.1,3,1,15
Trade,24.46493911743164,0,0,1.1,4,1,15
Trade,25.513468027114868,0,0,1.1,5,1,15
Trade,25.75670099258423,0,0,1.1,3,1,15
Trade,26.19161081314087,0,0,1.1,4,1,15
Trade,26.969844102859497,0,0,1.1,5,1,15
Trade,27.10604190826416,0,0,1.1,3,1,15
Trade,27.782186031341553,0,0,1.1,4,1,15
Trade,27.90279507637024,0,0,1.1,5,1,15
Trade,30.476881980895996,0,0,1.1,3,1,15
Trade,30.534561157226562,0,0,1.1,4,1,15
Trade,30.567152976989746,0,0,1.1,12,1,15
Trade,30.687721967697144,0,0,1.1,5,1,15
Trade,30.84988808631897,0,0,2.364305774726116,3,1,15
Trade,30.93250012397766,0,0,1.1,4,1,15
Trade,32.32525300979614,0,0,1.1,5,1,15
Trade,32.38626217842102,0,0,1.1,3,1,15
Trade,32.48671913146973,0,0,1.1,4,1,15
Trade,32.53038692474365,0,0,1.1643057747261158,13,1,15
Trade,0.4746229648590088,0,1,2.1,0,0,15
Trade,0.9738528728485107,0,1,1.1,2,0,15
Trade,1.0867018699645996,0,1,1.456333901231734,15,0,15
Trade,1.6989719867706299,0,1,1.1,0,2,15
Trade,2.2394697666168213,0,1,1.1,2,2,15
Trade,2.321082830429077,0,1,1.346461488700232,15,0,15
Trade,2.6679420471191406,0,1,1.3574149762648846,15,2,15
Trade,3.172651767730713,0,1,1.1,2,0,15
Trade,3.2668328285217285,0,1,1.1,2,16,15
Trade,3.3291969299316406,0,1,1.3687596723252051,15,0,15
Trade,3.603924036026001,0,1,1.1,2,16,15
Trade,3.854745864868164,0,1,1.3666666666666665,9,2,15
Trade,3.8549458980560303,0,1,1.3666666666666665,10,0,15
Trade,4.2579638957977295,0,1,1.3666666666666665,11,2,15
Trade,4.336438179016113,0,1,1.1,2,16,15
Trade,4.460939168930054,0,1,1.729367202352939,15,2,15
Trade,4.560734033584595,0,1,1.7386381497743708,15,2,15
Trade,7.002378940582275,0,1,1.1,0,0,15
Trade,7.11286997795105,0,1,1.1,2,2,15
Trade,7.740847826004028,0,1,1.6517868428523848,10,0,15
Trade,7.940510034561157,0,1,1.1,2,0,15
Trade,8.145226001739502,0,1,1.6517868428523848,11,0,15
Trade,8.231614112854004,0,1,1.1,0,2,15
Trade,8.256766080856323,0,1,1.6517868428523848,9,0,15
Trade,8.437982082366943,0,1,1.4375995721767862,15,2,15
Trade,8.648713111877441,0,1,1.4361647576790975,15,0,15
Trade,8.942585945129395,0,1,1.1,0,2,15
Trade,9.053185939788818,0,1,1.1,2,2,15
Trade,9.132999897003174,0,1,1.1,0,2,15
Trade,9.145396947860718,0,1,1.4236383252665386,15,2,15
Trade,9.22084903717041,0,1,1.424435244388474,15,0,15
Trade,9.504241943359375,0,1,1.3265405264193528,6,0,15
Trade,9.629059791564941,0,1,1.426540526419353,15,2,15
Trade,9.709553956985474,0,1,1.8973297338931627,16,2,15
Trade,9.852338075637817,0,1,1.914408165877562,16,2,15
Trade,11.359473943710327,0,1,2.1,2,2,15
Trade,11.452785968780518,0,1,1.1,10,0,15
Trade,11.508395910263062,0,1,1.1,11,0,15
Trade,11.733298063278198,0,1,1.1,2,0,15
Trade,12.04977798461914,0,1,1.9539331057645644,16,0,15
Trade,12.806421995162964,0,1,1.1,2,0,15
Trade,12.833590030670166,0,1,2.64684476169499,16,2,15
Trade,13.288785934448242,0,1,3.5047453458519406,15,2,15
Trade,13.363511800765991,0,1,2.8328499304594765,16,2,15
Trade,13.973445892333984,0,1,2.6015594391764845,15,0,15
Trade,15.505726099014282,0,1,2.6016411731512568,2,2,15
Trade,15.539732933044434,0,1,2.6016411731512568,15,0,15
Trade,15.734419107437134,0,1,2.6016411731512568,2,0,15
Trade,16.187676906585693,0,1,3.6016411731512568,0,0,15
Trade,16.22516894340515,0,1,3.6016411731512568,0,2,15
Trade,16.30480194091797,0,1,1.1,0,16,15
Trade,16.40435004234314,0,1,3.325472339691363,16,0,15
Trade,16.617605924606323,0,1,2.3429540617196363,15,2,15
Trade,16.8090341091156,0,1,2.0205528563723574,15,2,15
Trade,16.85100793838501,0,1,2.0189069258776455,15,0,15
Trade,17.22549295425415,0,1,2.006727339081766,15,2,15
Trade,17.529545068740845,0,1,1.9984595488309105,15,0,15
Trade,17.590097904205322,0,1,1.1,0,2,15
Trade,17.82663106918335,0,1,1.9966014768480673,15,0,15
Trade,17.988996982574463,0,1,2.726796884484807,16,0,15
Trade,18.238260984420776,0,1,2.5201344023955055,16,0,15
Trade,18.543872117996216,0,1,1.5235588361715173,2,0,15
Trade,18.56241273880005,0,1,2.5260543728394107,16,0,15
Trade,18.679100036621094,0,1,2.5270017404467926,16,0,15
Trade,18.718353986740112,0,1,1.1,2,15,15
