type,time,exchange,competitor,odds,backer,layer,stake
Trade,4.368170976638794,0,0,6.478055788035538,54,1,15
Trade,5.2601799964904785,0,0,1.1,1,51,15
Trade,5.5913190841674805,0,0,1.1,1,53,15
Trade,7.643436670303345,0,0,1.1,1,58,15
Trade,7.955049991607666,0,0,1.1,1,57,15
Trade,8.141283750534058,0,0,1.1,1,58,15
Trade,8.181618928909302,0,0,1.1,1,57,15
Trade,10.372572898864746,0,0,1.1,1,55,15
Trade,10.896723985671997,0,0,1.1,1,58,15
Trade,10.965945720672607,0,0,1.1,1,57,15
Trade,12.230051755905151,0,0,1.2000000000000002,1,57,15
Trade,13.111947059631348,0,0,1.2000000000000002,1,59,15
Trade,16.164820909500122,0,0,1.3000000000000003,1,55,15
Trade,18.845853805541992,0,0,1.4000000000000004,1,55,15
Trade,20.12354588508606,0,0,1.3000000000000003,1,58,15
Trade,21.35647487640381,0,0,1.3000000000000003,1,56,15
Trade,22.282849073410034,0,0,1.3000000000000003,1,59,15
Trade,22.670918941497803,0,0,1.3000000000000003,1,57,15
Trade,38.024927854537964,0,0,1.4000000000000004,1,55,15
Trade,38.04837489128113,0,0,1.4000000000000004,1,59,15
Trade,38.12103605270386,0,0,1.5000000000000004,1,58,15
Trade,38.12172293663025,0,0,1.5000000000000004,1,57,15
Trade,38.13017296791077,0,0,1.5000000000000004,1,56,15
Trade,38.130780935287476,0,0,1.5000000000000004,1,55,15
Trade,38.138460874557495,0,0,1.5000000000000004,1,59,15
Trade,38.19002604484558,0,0,1.5000000000000004,1,58,15
Trade,38.20185399055481,0,0,1.5000000000000004,1,57,15
Trade,38.20312285423279,0,0,1.5000000000000004,1,56,15
Trade,38.21677899360657,0,0,1.5000000000000004,1,59,15
Trade,38.245697021484375,0,0,1.5000000000000004,1,55,15
Trade,38.26420879364014,0,0,1.5000000000000004,1,43,15
Trade,38.30379796028137,0,0,1.6000000000000005,1,45,15
Trade,38.32499289512634,0,0,1.6000000000000005,1,58,15
Trade,38.336676836013794,0,0,1.6000000000000005,1,56,15
Trade,38.346617698669434,0,0,1.6000000000000005,1,55,15
Trade,38.35546898841858,0,0,1.6000000000000005,1,59,15
Trade,38.39042091369629,0,0,1.6000000000000005,1,49,15
Trade,38.41162705421448,0,0,1.6000000000000005,1,47,15
Trade,38.417738914489746,0,0,1.5000000000000004,1,40,15
Trade,38.437978744506836,0,0,1.5000000000000004,1,57,15
Trade,38.443368911743164,0,0,1.5000000000000004,1,58,15
Trade,38.480679988861084,0,0,1.5000000000000004,1,48,15
Trade,0.514366865158081,0,1,2.499629317804671,8,4,15
Trade,0.6473627090454102,0,1,3.499629317804671,50,4,15
Trade,0.6770808696746826,0,1,2.499629317804671,8,4,15
Trade,0.897136926651001,0,1,3.499629317804671,50,4,15
Trade,1.3501698970794678,0,1,2.499629317804671,8,4,15
Trade,1.4000868797302246,0,1,2.499629317804671,4,8,15
Trade,1.8514618873596191,0,1,2.1139304493567357,4,8,15
Trade,1.8695030212402344,0,1,2.1139304493567357,8,54,15
Trade,2.0222527980804443,0,1,1.1,8,54,15
Trade,2.0926268100738525,0,1,2.0360019822266526,8,4,15
Trade,2.3459279537200928,0,1,1.1,8,54,15
Trade,2.7451279163360596,0,1,3.0360019822266526,50,8,15
Trade,2.9571938514709473,0,1,2.0360019822266526,8,4,15
Trade,3.5974888801574707,0,1,3.8620240737961122,8,4,15
Trade,3.76519775390625,0,1,2.8620240737961122,8,8,15
Trade,3.928945779800415,0,1,4.862024073796112,54,8,15
Trade,3.981874942779541,0,1,4.862024073796112,4,8,15
Trade,4.227258920669556,0,1,1.1,8,53,15
Trade,7.999294996261597,0,1,1.1,8,58,15
Trade,8.142716884613037,0,1,1.1,4,57,15
Trade,10.093393802642822,0,1,1.1,8,55,15
Trade,10.927190065383911,0,1,1.1,8,58,15
Trade,11.580948829650879,0,1,1.1,4,57,15
Trade,12.057847023010254,0,1,1.2000000000000002,8,55,15
Trade,12.19129490852356,0,1,1.2000000000000002,8,57,15
Trade,12.392109870910645,0,1,5.08020604930648,50,4,15
Trade,12.421083927154541,0,1,1.2000000000000002,8,59,15
Trade,12.423206806182861,0,1,1.2000000000000002,4,58,15
Trade,12.457921981811523,0,1,1.2000000000000002,8,55,15
Trade,12.541273832321167,0,1,6.041587501124148,54,4,15
Trade,14.255807876586914,0,1,6.041587501124148,8,4,15
Trade,14.76637077331543,0,1,4.26292791939239,4,56,15
Trade,14.882434844970703,0,1,5.1629279193923905,50,8,15
Trade,14.92536973953247,0,1,4.26292791939239,4,59,15
Trade,15.650755882263184,0,1,6.041587501124148,4,8,15
Trade,18.60310983657837,0,1,6.041587501124148,8,4,15
Trade,18.79750394821167,0,1,6.041587501124148,4,55,15
Trade,20.18920588493347,0,1,4.041587501124148,8,8,15
Trade,22.24316906929016,0,1,5.26292791939239,4,8,15
Trade,24.046116828918457,0,1,5.26292791939239,8,4,15
Trade,24.185794830322266,0,1,5.141587501124148,8,57,15
Trade,24.497525930404663,0,1,5.041587501124148,4,56,15
Trade,24.93105673789978,0,1,5.041587501124148,8,4,15
Trade,25.72528100013733,0,1,5.041587501124148,4,8,15
Trade,25.784413814544678,0,1,7.041587501124148,4,8,15
Trade,31.116353034973145,0,1,6.141587501124148,8,57,15
Trade,31.18578290939331,0,1,7.041587501124148,4,56,15
Trade,32.20066475868225,0,1,7.141587501124148,8,59,15
Trade,32.58149194717407,0,1,6.2415875011241475,4,55,15
Trade,32.587270975112915,0,1,6.2415875011241475,8,59,15
Trade,33.825469970703125,0,1,5.141587501124148,8,58,15
Trade,38.014771938323975,0,1,5.26292791939239,8,55,15
Trade,38.01752710342407,0,1,5.36292791939239,8,57,15
Trade,38.019195795059204,0,1,5.36292791939239,4,59,15
Trade,38.066383838653564,0,1,4.26292791939239,4,55,15
Trade,38.06728982925415,0,1,5.26292791939239,8,59,15
Trade,38.10372877120972,0,1,4.26292791939239,8,4,15
Trade,38.12777280807495,0,1,4.26292791939239,4,56,15
Trade,38.16717886924744,0,1,4.26292791939239,4,8,15
Trade,38.16985869407654,0,1,6.601066253719159,50,4,15
Trade,38.18532085418701,0,1,7.141587501124148,8,4,15
Trade,38.190804958343506,0,1,7.141587501124148,4,8,15
Trade,38.19188690185547,0,1,7.141587501124148,8,4,15
Trade,38.26004409790039,0,1,4.26292791939239,8,8,15
Trade,38.26296782493591,0,1,4.26292791939239,8,4,15
Trade,38.33100485801697,0,1,6.2415875011241475,8,8,15
Trade,38.33132481575012,0,1,6.2415875011241475,4,57,15
Trade,38.3352997303009,0,1,5.141587501124148,4,8,15
Trade,38.3363299369812,0,1,8.598310329010117,4,4,15
Trade,38.36557078361511,0,1,5.141587501124148,4,4,15
Trade,38.36852979660034,0,1,5.6011965151289544,4,4,15
Trade,38.36979103088379,0,1,5.141587501124148,4,8,15
Trade,38.37185883522034,0,1,5.141587501124148,8,56,15
Trade,38.388643741607666,0,1,5.141587501124148,8,4,15
Trade,38.389999866485596,0,1,5.601066253719159,4,8,15
Trade,38.391108751297,0,1,5.2415875011241475,4,58,15
Trade,38.392239809036255,0,1,7.601066253719159,8,4,15
Trade,38.397740840911865,0,1,7.601066253719159,4,8,15
Trade,38.40037298202515,0,1,7.601066253719159,4,8,15
Trade,38.407320737838745,0,1,7.601066253719159,4,8,15
Trade,38.42471694946289,0,1,7.601066253719159,4,8,15
Trade,38.436004877090454,0,1,7.601066253719159,8,4,15
Trade,38.442638874053955,0,1,5.601066253719159,4,8,15
Trade,38.443012714385986,0,1,5.2415875011241475,4,55,15
Trade,38.44433283805847,0,1,5.2415875011241475,8,59,15
Trade,38.465261697769165,0,1,7.601066253719159,8,4,15
Trade,38.701106786727905,0,1,5.341587501124147,4,57,15
Trade,38.93101906776428,0,1,8.698310329010116,4,58,15
Trade,39.1722686290741,0,1,5.2415875011241475,4,56,15
Trade,39.38675570487976,0,1,5.2415875011241475,4,59,15
Trade,1.098336935043335,0,2,1.1,33,0,15
Trade,1.1848938465118408,0,2,1.1,36,0,15
Trade,1.8756358623504639,0,2,1.1,39,0,15
Trade,2.1101419925689697,0,2,1.1,34,0,15
Trade,2.6377809047698975,0,2,1.1,32,0,15
Trade,3.485908031463623,0,2,1.1,38,0,15
Trade,3.6541240215301514,0,2,1.1,37,0,15
Trade,3.7334089279174805,0,2,1.1,35,0,15
Trade,3.8071818351745605,0,2,1.1,30,0,15
Trade,3.983750820159912,0,2,1.1,31,0,15
Trade,6.578925848007202,0,2,1.1,23,0,15
Trade,6.6991260051727295,0,2,1.1,22,0,15
Trade,6.92280387878418,0,2,1.15,52,0,15
Trade,7.3293750286102295,0,2,5.3923380895822355,21,0,15
Trade,7.7272748947143555,0,2,1.1,0,58,15
Trade,7.96950888633728,0,2,1.1,0,57,15
Trade,8.29528284072876,0,2,1.1,15,58,15
Trade,8.606750011444092,0,2,4.624731944920862,15,0,15
Trade,8.75291395187378,0,2,3.9247319449208615,15,55,15
Trade,8.803102970123291,0,2,5.86412273205589,15,0,15
Trade,9.04106593132019,0,2,4.024731944920862,0,55,15
Trade,9.167778015136719,0,2,3.864122732055896,15,58,15
Trade,9.181297779083252,0,2,3.364122732055895,15,0,15
Trade,9.197181940078735,0,2,3.364122732055895,0,55,15
Trade,9.269623041152954,0,2,3.064122732055895,15,57,15
Trade,9.324009895324707,0,2,1.2000000000000002,0,24,15
