type,time,exchange,competitor,odds,agentID,decision,stake
Trade,0.07337307929992676,0,0,2.4,54,backer,15
Trade,0.07337307929992676,0,0,2.4,4,layer,15
Trade,4.63031792640686,0,0,1.4059217292510064,1,backer,15
Trade,4.63031792640686,0,0,1.4059217292510064,3,layer,15
Trade,4.851689100265503,0,0,1.4059217292510064,3,backer,15
Trade,4.851689100265503,0,0,1.4059217292510064,1,layer,15
Trade,4.974222898483276,0,0,2.4059217292510064,54,backer,15
Trade,4.974222898483276,0,0,2.4059217292510064,1,layer,15
Trade,5.288208961486816,0,0,3.4059217292510064,1,backer,15
Trade,5.288208961486816,0,0,3.4059217292510064,20,layer,15
Trade,6.233159065246582,0,0,3.4059217292510064,14,backer,15
Trade,6.233159065246582,0,0,3.4059217292510064,4,layer,15
Trade,6.37904691696167,0,0,2.705921729251006,14,backer,15
Trade,6.37904691696167,0,0,2.705921729251006,3,layer,15
Trade,6.531315088272095,0,0,1.1,3,backer,15
Trade,6.531315088272095,0,0,1.1,1,layer,15
Trade,6.674113988876343,0,0,1.1,11,backer,15
Trade,6.674113988876343,0,0,1.1,1,layer,15
Trade,6.714763164520264,0,0,1.1,14,backer,15
Trade,6.714763164520264,0,0,1.1,1,layer,15
Trade,6.810561895370483,0,0,1.1,11,backer,15
Trade,6.810561895370483,0,0,1.1,3,layer,15
Trade,7.2829179763793945,0,0,1.1,14,backer,15
Trade,7.2829179763793945,0,0,1.1,4,layer,15
Trade,7.2922279834747314,0,0,1.1,11,backer,15
Trade,7.2922279834747314,0,0,1.1,3,layer,15
Trade,7.640006065368652,0,0,1.1,1,backer,15
Trade,7.640006065368652,0,0,1.1,4,layer,15
Trade,7.658329963684082,0,0,1.5059217292510048,39,backer,15
Trade,7.658329963684082,0,0,1.5059217292510048,1,layer,15
Trade,7.834075927734375,0,0,1.5059217292510048,38,backer,15
Trade,7.834075927734375,0,0,1.5059217292510048,4,layer,15
Trade,9.358217000961304,0,0,1.1,1,backer,15
Trade,9.358217000961304,0,0,1.1,29,layer,15
Trade,9.422497987747192,0,0,1.1,11,backer,15
Trade,9.422497987747192,0,0,1.1,4,layer,15
Trade,9.456788063049316,0,0,2.1,3,backer,15
Trade,9.456788063049316,0,0,2.1,3,layer,15
Trade,9.533814191818237,0,0,1.1,1,backer,15
Trade,9.533814191818237,0,0,1.1,4,layer,15
Trade,9.660434007644653,0,0,1.5059217292510048,30,backer,15
Trade,9.660434007644653,0,0,1.5059217292510048,1,layer,15
Trade,9.906346082687378,0,0,1.1,1,backer,15
Trade,9.906346082687378,0,0,1.1,4,layer,15
Trade,10.119476079940796,0,0,1.1,4,backer,15
Trade,10.119476079940796,0,0,1.1,1,layer,15
Trade,10.299087047576904,0,0,1.1,1,backer,15
Trade,10.299087047576904,0,0,1.1,4,layer,15
Trade,10.31647801399231,0,0,1.5059217292510048,33,backer,15
Trade,10.31647801399231,0,0,1.5059217292510048,1,layer,15
Trade,10.414039850234985,0,0,1.1,11,backer,15
Trade,10.414039850234985,0,0,1.1,1,layer,15
Trade,10.415778875350952,0,0,1.1,14,backer,15
Trade,10.415778875350952,0,0,1.1,3,layer,15
Trade,10.455414772033691,0,0,1.2059217292510045,11,backer,15
Trade,10.455414772033691,0,0,1.2059217292510045,1,layer,15
Trade,10.484896183013916,0,0,1.1,14,backer,15
Trade,10.484896183013916,0,0,1.1,3,layer,15
Trade,10.588572978973389,0,0,1.1,11,backer,15
Trade,10.588572978973389,0,0,1.1,1,layer,15
Trade,10.636534214019775,0,0,1.1,14,backer,15
Trade,10.636534214019775,0,0,1.1,4,layer,15
Trade,10.69286584854126,0,0,1.1,11,backer,15
Trade,10.69286584854126,0,0,1.1,3,layer,15
Trade,11.107606172561646,0,0,1.1,14,backer,15
Trade,11.107606172561646,0,0,1.1,3,layer,15
Trade,11.246154069900513,0,0,1.1,11,backer,15
Trade,11.246154069900513,0,0,1.1,1,layer,15
Trade,11.302119016647339,0,0,1.1,14,backer,15
Trade,11.302119016647339,0,0,1.1,3,layer,15
Trade,11.40452790260315,0,0,1.1,11,backer,15
Trade,11.40452790260315,0,0,1.1,22,layer,15
Trade,11.501911163330078,0,0,1.1,14,backer,15
Trade,11.501911163330078,0,0,1.1,4,layer,15
Trade,11.518415927886963,0,0,1.5059217292510048,36,backer,15
Trade,11.518415927886963,0,0,1.5059217292510048,3,layer,15
Trade,11.522472143173218,0,0,1.5059217292510048,32,backer,15
Trade,11.522472143173218,0,0,1.5059217292510048,4,layer,15
Trade,11.592289924621582,0,0,1.5059217292510048,34,backer,15
Trade,11.592289924621582,0,0,1.5059217292510048,1,layer,15
Trade,11.905756950378418,0,0,1.1,4,backer,15
Trade,11.905756950378418,0,0,1.1,1,layer,15
Trade,11.930552005767822,0,0,1.6059217292510048,37,backer,15
Trade,11.930552005767822,0,0,1.6059217292510048,1,layer,15
Trade,12.015873193740845,0,0,1.6059217292510048,31,backer,15
Trade,12.015873193740845,0,0,1.6059217292510048,3,layer,15
Trade,12.042176008224487,0,0,1.1,1,backer,15
Trade,12.042176008224487,0,0,1.1,4,layer,15
Trade,12.106890201568604,0,0,1.6059217292510048,35,backer,15
Trade,12.106890201568604,0,0,1.6059217292510048,4,layer,15
Trade,12.208129167556763,0,0,1.1,1,backer,15
Trade,12.208129167556763,0,0,1.1,4,layer,15
Trade,12.220091104507446,0,0,1.1,37,backer,15
Trade,12.220091104507446,0,0,1.1,1,layer,15
Trade,12.462769031524658,0,0,1.1,33,backer,15
Trade,12.462769031524658,0,0,1.1,1,layer,15
Trade,12.464893102645874,0,0,1.1,35,backer,15
Trade,12.464893102645874,0,0,1.1,3,layer,15
Trade,12.473745107650757,0,0,1.1,31,backer,15
Trade,12.473745107650757,0,0,1.1,27,layer,15
Trade,12.487031936645508,0,0,1.1,36,backer,15
Trade,12.487031936645508,0,0,1.1,4,layer,15
Trade,12.514693975448608,0,0,1.1,30,backer,15
Trade,12.514693975448608,0,0,1.1,3,layer,15
Trade,12.524703025817871,0,0,1.1,32,backer,15
Trade,12.524703025817871,0,0,1.1,3,layer,15
Trade,12.624747037887573,0,0,1.1,38,backer,15
Trade,12.624747037887573,0,0,1.1,3,layer,15
Trade,12.64777398109436,0,0,1.1,39,backer,15
Trade,12.64777398109436,0,0,1.1,1,layer,15
Trade,12.665119171142578,0,0,1.1,37,backer,15
Trade,12.665119171142578,0,0,1.1,4,layer,15
